geneName,logFC,AveExpr,t,P.Value,adj.P.Val,B,group,FC.group
ENSG00000174371,-0.6187534836574113,-0.684910896873692,-3.108654113436828,0.00932256386289234,0.03131233216887793,-3.4449436076436073,TB,down
ENSG00000117477,1.1159473844660075,-1.4957306406995858,3.108569000179231,0.00932401923516152,0.03131233216887793,-3.4450992941656065,TB,up
ENSG00000004399,-0.2729376748006848,8.609869597788375,-3.107548971502106,0.009341478757209878,0.031362770372952285,-3.446965070424059,TB,down
ENSG00000176148,0.21984621461480022,4.395496692250202,3.1066129488522085,0.009357529326131894,0.03140845309465842,-3.4486771414731052,TB,up
ENSG00000121390,0.17879413019789747,5.522574093791194,3.104813513710287,0.009388463386293405,0.03149517678067522,-3.4519683477285303,TB,up
ENSG00000033030,0.13982898384641537,4.990401042920059,3.1045146028123596,0.009393611917863484,0.03149517678067522,-3.4525150462808565,TB,up
ENSG00000149503,-0.19656545689583793,5.678614593293463,-3.1044413295668902,0.009394874431960501,0.03149517678067522,-3.452649060024304,TB,down
ENSG00000103549,-0.11333772935849439,7.2574562803987,-3.1044398918019063,0.00939489920667488,0.03149517678067522,-3.4526516896343997,TB,down
ENSG00000125843,-0.23534821206627507,3.5159815327235946,-3.10439806535639,0.009395619963982943,0.03149517678067522,-3.4527281883514243,TB,down
ENSG00000197063,0.34703593529895443,6.756096863570306,3.1037815457334115,0.009406250346794778,0.03152258916740717,-3.453855765031853,TB,up
ENSG00000139318,0.6627368988484463,7.28850131453328,3.1033438477426913,0.009413804731421699,0.031539681545420147,-3.4546562760278583,TB,up
ENSG00000198517,0.3480758109731933,5.437875077324658,3.1026694385505214,0.009425456551882493,0.03156600002536317,-3.4558896916034865,TB,up
ENSG00000198055,-0.35491773763364504,6.375201665503767,-3.1026048988568946,0.009426572369852462,0.03156600002536317,-3.456007725928348,TB,down
ENSG00000177465,-0.20170502817748015,4.8388230850232,-3.1023603808321076,0.009430801014644642,0.03157193400370225,-3.456454914199196,TB,down
ENSG00000127412,-1.2598400324211256,-1.57393226294061,-3.101454954681217,0.009446475897502471,0.03161617401945358,-3.4581107813629117,TB,down
ENSG00000196209,-0.9806145445262457,3.0012582698394503,-3.1012516683748927,0.009449998825049908,0.031619730512767875,-3.458482550866173,TB,down
ENSG00000157388,0.61337865144467,-0.1282906764184814,3.1010995861292754,0.009452635256778924,0.03162031970851711,-3.458760677104479,TB,up
ENSG00000140263,-0.41553530138252737,2.7639307101483124,-3.1006840447666684,0.00945984267588657,0.03163214831633611,-3.45952060817554,TB,down
ENSG00000053747,1.419998080190335,0.6925391742150719,3.100611941335103,0.009461093847494242,0.03163214831633611,-3.4596524681126684,TB,up
ENSG00000184992,-0.22899136882431984,4.045244128471165,-3.0996783548522457,0.009477308909415179,0.03167812070319997,-3.46135975011174,TB,down
ENSG00000183048,-0.8127813408491907,-0.9415073707171591,-3.099168544730517,0.009486175383365582,0.03169413785463948,-3.4622920383587372,TB,down
ENSG00000156239,-0.2927418037255329,2.5872556853825164,-3.099119257437874,0.009487033016401967,0.03169413785463948,-3.462382169162632,TB,down
ENSG00000196937,0.21456051546697455,3.9360355187316034,3.0986455941003923,0.009495279065204398,0.03170470951801023,-3.4632483424751808,TB,up
ENSG00000173950,-0.38364436824978326,2.5711281848097465,-3.0986235164178892,0.009495663593472125,0.03170470951801023,-3.4632887149548703,TB,down
ENSG00000134909,-0.3229326073751449,4.498525217886495,-3.098512456555141,0.009497598167159926,0.03170470951801023,-3.463491804816633,TB,down
ENSG00000105738,-0.22289363034208892,5.682261863782994,-3.098339874956387,0.009500605187068354,0.03170620302602478,-3.4638073952510466,TB,down
ENSG00000055950,-0.1444980786636869,4.887169415282313,-3.098203638277462,0.009502979618444402,0.03170620302602478,-3.4640565226336797,TB,down
ENSG00000175931,-0.12239982025010107,5.458812538630966,-3.0978413102564786,0.009509297439230055,0.0317190476742758,-3.464719084179591,TB,down
ENSG00000175183,0.5972371233184673,-0.04268978354921141,3.097449874536118,0.00951612755245883,0.0317335940073173,-3.4654348649846263,TB,up
ENSG00000148925,0.15941461644855087,5.26219659065068,3.09686713490299,0.009526304848486178,0.03175929180615937,-3.466500449865255,TB,up
ENSG00000007944,0.7024953741149619,2.16183381756627,3.0960568203153405,0.009540474845834937,0.03179828390007018,-3.467982143474885,TB,up
ENSG00000136811,0.13984623165958127,5.2397673183498,3.0958266241377297,0.009544504160097686,0.031803465767585026,-3.4684030603271703,TB,up
ENSG00000126107,-0.20744753184186276,6.8107969192242,-3.0923740895565635,0.009605142526654845,0.03199722440450183,-3.4747157282424648,TB,down
ENSG00000197217,0.14159520618332758,5.6226370901664655,3.092188596031447,0.009608411378209888,0.03199981939174747,-3.4750548694222405,TB,up
ENSG00000158373,-0.17898304258982664,3.6485935675774135,-3.0918724109103772,0.00961398591628853,0.032002711245917,-3.4756329521514373,TB,down
ENSG00000204366,-0.3325608175813693,0.770317853662955,-3.0918568759452136,0.009614259891105316,0.032002711245917,-3.4756613546618285,TB,down
ENSG00000175662,-0.19594159260408386,5.081948926427548,-3.0910396874342183,0.009628682914181065,0.032042421753768785,-3.4771553985724273,TB,down
ENSG00000075785,0.15068451766866692,9.240897874700769,3.0905359464582776,0.00963758456477,0.032063742383231696,-3.478076356759029,TB,up
ENSG00000215251,0.14818497940868086,5.054185605783298,3.089903503077269,0.00964877224741488,0.03209265551857558,-3.479232594060913,TB,up
ENSG00000100632,0.12852455532044355,5.175335179597095,3.0896194660140486,0.00965380100457833,0.03210107387085141,-3.4797518654944937,TB,up
ENSG00000257923,0.1732561473094777,7.077923011824988,3.0893264223724826,0.009658991982181056,0.032110027148212865,-3.480287597997049,TB,up
ENSG00000025708,0.3146155632501228,8.7126362199864,3.087603030692933,0.009689577009063558,0.032203373085204254,-3.483438149840374,TB,up
ENSG00000187066,-0.39737474584404775,-0.39898943874286885,-3.087233817825324,0.009696142086712304,0.032212497880239783,-3.4841130909447564,TB,down
ENSG00000167377,-0.43986698512076977,1.2005933806002504,-3.087166735325531,0.00969733537960222,0.032212497880239783,-3.4842357205827525,TB,down
ENSG00000198814,0.5912111531926049,6.345685058104488,3.0865316291072946,0.009708640247847053,0.03224171691610603,-3.4853967092867935,TB,up
